epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2636.25,1.91181,4.46821,1.72295,0.47183,0.20033,0.1897,0.1174,1.43745,2.71494,1.34849,3.96433e-05,3.96433e-05,3.96433e-05
2,4913.78,1.53331,2.74418,1.37508,0.64225,0.49849,0.54496,0.32549,1.44283,1.87857,1.34612,7.53841e-05,7.53841e-05,7.53841e-05
3,7164.25,1.44795,2.06521,1.31297,0.74569,0.6857,0.76912,0.49646,1.28125,1.31495,1.26833,0.000107198,0.000107198,0.000107198
4,9587.32,1.37916,1.66276,1.26665,0.85385,0.80148,0.8785,0.58269,1.20745,1.07782,1.21593,0.000101329,0.000101329,0.000101329
5,11850.6,1.33705,1.42223,1.24333,0.89055,0.84518,0.9341,0.62081,1.17678,0.9532,1.20232,9.5438e-05,9.5438e-05,9.5438e-05
6,14260.8,1.29693,1.26335,1.21884,0.88153,0.90901,0.94757,0.63469,1.15805,0.85018,1.18908,8.95475e-05,8.95475e-05,8.95475e-05
7,16649.8,1.27549,1.15152,1.20897,0.92929,0.8946,0.95449,0.64569,1.15294,0.82643,1.18156,8.3657e-05,8.3657e-05,8.3657e-05
8,18892.4,1.24263,1.08075,1.19017,0.92803,0.92777,0.9682,0.66058,1.12872,0.75336,1.16579,7.77665e-05,7.77665e-05,7.77665e-05
9,21209.5,1.21613,1.0078,1.17628,0.93666,0.92224,0.96789,0.66499,1.10774,0.72832,1.15769,7.1876e-05,7.1876e-05,7.1876e-05
10,23547.7,1.20456,0.96648,1.1685,0.9322,0.93788,0.96781,0.67583,1.09346,0.66908,1.14648,6.59855e-05,6.59855e-05,6.59855e-05
11,25789.8,1.12226,0.70929,1.17136,0.9361,0.93646,0.97108,0.67891,1.0868,0.67181,1.14079,6.0095e-05,6.0095e-05,6.0095e-05
12,28092.9,1.09301,0.66633,1.16035,0.94642,0.95013,0.97543,0.685,1.08277,0.65069,1.1383,5.42045e-05,5.42045e-05,5.42045e-05
13,30382.3,1.08153,0.64638,1.14388,0.9446,0.96082,0.97792,0.685,1.07361,0.62879,1.1307,4.8314e-05,4.8314e-05,4.8314e-05
14,32710,1.06186,0.61852,1.13448,0.95354,0.95823,0.97861,0.6899,1.05752,0.61847,1.12281,4.24235e-05,4.24235e-05,4.24235e-05
15,35151.3,1.05142,0.59821,1.12826,0.96027,0.96478,0.98079,0.6985,1.04932,0.59593,1.115,3.6533e-05,3.6533e-05,3.6533e-05
16,37981.6,1.03667,0.58484,1.12237,0.96,0.9646,0.98097,0.69928,1.05387,0.58001,1.11805,3.06425e-05,3.06425e-05,3.06425e-05
17,40901.4,1.0278,0.56966,1.1149,0.96511,0.95694,0.98165,0.70375,1.04338,0.58142,1.11266,2.4752e-05,2.4752e-05,2.4752e-05
18,43484.3,1.01602,0.56339,1.11231,0.96575,0.96382,0.97861,0.69966,1.03918,0.58366,1.11114,1.88615e-05,1.88615e-05,1.88615e-05
19,45964.7,1.0074,0.55423,1.10426,0.96613,0.96441,0.98229,0.70529,1.03154,0.5645,1.1045,1.2971e-05,1.2971e-05,1.2971e-05
20,48146.9,1.00141,0.54583,1.10296,0.96824,0.96536,0.98003,0.70812,1.029,0.56042,1.10394,7.0805e-06,7.0805e-06,7.0805e-06
